"signature","major_cancer_type","n_msi","n_mss","msi_pos","msi_neg","mss_pos","mss_neg","msi_pos_rate","mss_pos_rate","odds_ratio","p_value","p_adj"
"ID_F/InsDel_F","Skin",2,430,0,2,8,422,0,0.0186046511627907,0,1,1
"ID_G/InsDel_G","Skin",2,430,0,2,1,429,0,0.00232558139534884,0,1,1
"C_ID1/InsDel1b","Bladder",3,195,0,3,1,194,0,0.00512820512820513,0,1,1
"C_ID1/InsDel1c","Bladder",3,195,0,3,8,187,0,0.041025641025641,0,1,1
"C_ID3/InsDel3a","Bladder",3,195,0,3,27,168,0,0.138461538461538,0,1,1
"C_ID4/InsDel4","Bladder",3,195,0,3,7,188,0,0.0358974358974359,0,1,1
"C_ID5/InsDel5a","Bladder",3,195,0,3,16,179,0,0.0820512820512821,0,1,1
"C_ID5/InsDel5b","Bladder",3,195,0,3,1,194,0,0.00512820512820513,0,1,1
"C_ID5/InsDel5c","Bladder",3,195,0,3,4,191,0,0.0205128205128205,0,1,1
"C_ID6/InsDel6","Bladder",3,195,0,3,17,178,0,0.0871794871794872,0,1,1
"C_ID8/InsDel8","Bladder",3,195,0,3,23,172,0,0.117948717948718,0,1,1
"C_ID9/InsDel9","Bladder",3,195,0,3,26,169,0,0.133333333333333,0,1,1
"C_ID10/InsDel10","Bladder",3,195,0,3,7,188,0,0.0358974358974359,0,1,1
"C_ID14/InsDel14","Bladder",3,195,0,3,3,192,0,0.0153846153846154,0,1,1
"C_ID18/InsDel18","Bladder",3,195,0,3,4,191,0,0.0205128205128205,0,1,1
"ID_A/InsDel_A_alpha","Bladder",3,195,0,3,11,184,0,0.0564102564102564,0,1,1
"ID_A/InsDel_A_beta","Bladder",3,195,0,3,6,189,0,0.0307692307692308,0,1,1
"ID_E/InsDel_E","Bladder",3,195,0,3,1,194,0,0.00512820512820513,0,1,1
"ID_G/InsDel_G","Bladder",3,195,0,3,4,191,0,0.0205128205128205,0,1,1
"ID_I/InsDel_I","Bladder",3,195,0,3,1,194,0,0.00512820512820513,0,1,1
"C_ID1/InsDel1b","Breast",6,947,0,6,23,924,0,0.0242872228088701,0,1,1
"C_ID1/InsDel1c","Breast",6,947,0,6,51,896,0,0.0538542766631468,0,1,1
"C_ID2/InsDel2a","Breast",6,947,0,6,18,929,0,0.0190073917634636,0,1,1
"C_ID2/InsDel2b","Breast",6,947,0,6,4,943,0,0.00422386483632524,0,1,1
"C_ID5/InsDel5c","Breast",6,947,0,6,37,910,0,0.0390707497360085,0,1,1
"C_ID8/InsDel8","Breast",6,947,0,6,88,859,0,0.0929250263991552,0,1,1
"C_ID9/InsDel9","Breast",6,947,0,6,128,819,0,0.135163674762408,0,1,1
"C_ID10/InsDel10","Breast",6,947,0,6,23,924,0,0.0242872228088701,0,1,1
"C_ID17/InsDel17","Breast",6,947,0,6,15,932,0,0.0158394931362196,0,1,1
"C_ID19/InsDel19a","Breast",6,947,0,6,14,933,0,0.0147835269271383,0,1,1
"C_ID23/InsDel23","Breast",6,947,0,6,13,934,0,0.013727560718057,0,1,1
"ID_A/InsDel_A_alpha","Breast",6,947,0,6,45,902,0,0.0475184794086589,0,1,1
"ID_A/InsDel_A_beta","Breast",6,947,0,6,57,890,0,0.0601900739176346,0,1,1
"ID_C/InsDel_C","Breast",6,947,0,6,4,943,0,0.00422386483632524,0,1,1
"ID_E/InsDel_E","Breast",6,947,0,6,19,928,0,0.0200633579725449,0,1,1
"ID_F/InsDel_F","Breast",6,947,0,6,12,935,0,0.0126715945089757,0,1,1
"ID_H/InsDel_H","Breast",6,947,0,6,4,943,0,0.00422386483632524,0,1,1
"ID_N/InsDel_N_alpha","Breast",6,947,0,6,5,942,0,0.00527983104540655,0,1,1
"C_ID1/InsDel1a","CNS",5,367,2,3,162,205,0.4,0.44141689373297,0.844002903258858,1,1
"C_ID1/InsDel1c","CNS",5,367,0,5,38,329,0,0.103542234332425,0,1,1
"C_ID2/InsDel2b","CNS",5,367,0,5,8,359,0,0.0217983651226158,0,1,1
"C_ID3/InsDel3a","CNS",5,367,0,5,4,363,0,0.0108991825613079,0,1,1
"C_ID3/InsDel3b","CNS",5,367,0,5,6,361,0,0.0163487738419619,0,1,1
"C_ID5/InsDel5b","CNS",5,367,0,5,3,364,0,0.00817438692098093,0,1,1
"C_ID5/InsDel5c","CNS",5,367,0,5,3,364,0,0.00817438692098093,0,1,1
"C_ID6/InsDel6","CNS",5,367,0,5,3,364,0,0.00817438692098093,0,1,1
"C_ID10/InsDel10","CNS",5,367,0,5,45,322,0,0.122615803814714,0,1,1
"C_ID11/InsDel11","CNS",5,367,0,5,4,363,0,0.0108991825613079,0,1,1
"C_ID12/InsDel12","CNS",5,367,0,5,2,365,0,0.00544959128065395,0,1,1
"C_ID13/InsDel13","CNS",5,367,0,5,2,365,0,0.00544959128065395,0,1,1
"C_ID17/InsDel17","CNS",5,367,0,5,7,360,0,0.0190735694822888,0,1,1
"C_ID18/InsDel18","CNS",5,367,0,5,5,362,0,0.0136239782016349,0,1,1
"C_ID19/InsDel19a","CNS",5,367,0,5,2,365,0,0.00544959128065395,0,1,1
"C_ID23/InsDel23","CNS",5,367,0,5,5,362,0,0.0136239782016349,0,1,1
"ID_B/InsDel_B","CNS",5,367,0,5,29,338,0,0.0790190735694823,0,1,1
"ID_H/InsDel_H","CNS",5,367,0,5,3,364,0,0.00817438692098093,0,1,1
"ID_I/InsDel_I","CNS",5,367,0,5,2,365,0,0.00544959128065395,0,1,1
"C_ID1/InsDel1b","Colon",24,628,0,24,13,615,0,0.0207006369426752,0,1,1
"C_ID4/InsDel4","Colon",24,628,0,24,3,625,0,0.00477707006369427,0,1,1
"C_ID5/InsDel5a","Colon",24,628,0,24,17,611,0,0.0270700636942675,0,1,1
"C_ID6/InsDel6","Colon",24,628,0,24,10,618,0,0.0159235668789809,0,1,1
"C_ID8/InsDel8","Colon",24,628,0,24,2,626,0,0.00318471337579618,0,1,1
"C_ID9/InsDel9","Colon",24,628,0,24,14,614,0,0.0222929936305732,0,1,1
"C_ID10/InsDel10","Colon",24,628,0,24,9,619,0,0.0143312101910828,0,1,1
"C_ID19/InsDel19a","Colon",24,628,0,24,8,620,0,0.0127388535031847,0,1,1
"C_ID23/InsDel23","Colon",24,628,0,24,1,627,0,0.00159235668789809,0,1,1
"ID_C/InsDel_C","Colon",24,628,0,24,3,625,0,0.00477707006369427,0,1,1
"ID_F/InsDel_F","Colon",24,628,0,24,1,627,0,0.00159235668789809,0,1,1
"ID_G/InsDel_G","Colon",24,628,0,24,2,626,0,0.00318471337579618,0,1,1
"ID_I/InsDel_I","Colon",24,628,0,24,1,627,0,0.00159235668789809,0,1,1
"ID_K/InsDel_K","Colon",24,628,0,24,4,624,0,0.00636942675159236,0,1,1
"ID_L/InsDel_L","Colon",24,628,0,24,1,627,0,0.00159235668789809,0,1,1
"ID_N/InsDel_N_alpha","Colon",24,628,0,24,2,626,0,0.00318471337579618,0,1,1
"C_ID1/InsDel1b","Kidney",2,304,0,2,3,301,0,0.00986842105263158,0,1,1
"C_ID2/InsDel2a","Kidney",2,304,0,2,2,302,0,0.00657894736842105,0,1,1
"C_ID2/InsDel2b","Kidney",2,304,0,2,1,303,0,0.00328947368421053,0,1,1
"C_ID3/InsDel3b","Kidney",2,304,0,2,3,301,0,0.00986842105263158,0,1,1
"C_ID5/InsDel5b","Kidney",2,304,0,2,4,300,0,0.0131578947368421,0,1,1
"C_ID6/InsDel6","Kidney",2,304,0,2,4,300,0,0.0131578947368421,0,1,1
"C_ID8/InsDel8","Kidney",2,304,0,2,4,300,0,0.0131578947368421,0,1,1
"C_ID9/InsDel9","Kidney",2,304,0,2,10,294,0,0.0328947368421053,0,1,1
"C_ID10/InsDel10","Kidney",2,304,0,2,3,301,0,0.00986842105263158,0,1,1
"C_ID17/InsDel17","Kidney",2,304,0,2,1,303,0,0.00328947368421053,0,1,1
"C_ID18/InsDel18","Kidney",2,304,0,2,2,302,0,0.00657894736842105,0,1,1
"C_ID19/InsDel19b","Kidney",2,304,0,2,59,245,0,0.194078947368421,0,1,1
"C_ID23/InsDel23","Kidney",2,304,0,2,5,299,0,0.0164473684210526,0,1,1
"ID_A/InsDel_A_alpha","Kidney",2,304,0,2,3,301,0,0.00986842105263158,0,1,1
"ID_A/InsDel_A_beta","Kidney",2,304,0,2,1,303,0,0.00328947368421053,0,1,1
"ID_B/InsDel_B","Kidney",2,304,0,2,15,289,0,0.0493421052631579,0,1,1
"ID_C/InsDel_C","Kidney",2,304,0,2,1,303,0,0.00328947368421053,0,1,1
"ID_D/InsDel_D","Kidney",2,304,0,2,1,303,0,0.00328947368421053,0,1,1
"ID_E/InsDel_E","Kidney",2,304,0,2,4,300,0,0.0131578947368421,0,1,1
"ID_F/InsDel_F","Kidney",2,304,0,2,1,303,0,0.00328947368421053,0,1,1
"C_ID1/InsDel1b","Lung",2,574,0,2,1,573,0,0.00174216027874564,0,1,1
"C_ID1/InsDel1c","Lung",2,574,0,2,34,540,0,0.0592334494773519,0,1,1
"C_ID2/InsDel2b","Lung",2,574,0,2,1,573,0,0.00174216027874564,0,1,1
"C_ID3/InsDel3a","Lung",2,574,0,2,6,568,0,0.0104529616724739,0,1,1
"C_ID4/InsDel4","Lung",2,574,0,2,37,537,0,0.0644599303135888,0,1,1
"C_ID5/InsDel5a","Lung",2,574,0,2,61,513,0,0.106271777003484,0,1,1
"C_ID5/InsDel5b","Lung",2,574,0,2,3,571,0,0.00522648083623693,0,1,1
"C_ID5/InsDel5c","Lung",2,574,0,2,7,567,0,0.0121951219512195,0,1,1
"C_ID6/InsDel6","Lung",2,574,0,2,49,525,0,0.0853658536585366,0,1,1
"C_ID9/InsDel9","Lung",2,574,0,2,96,478,0,0.167247386759582,0,1,1
"C_ID10/InsDel10","Lung",2,574,0,2,6,568,0,0.0104529616724739,0,1,1
"C_ID11/InsDel11","Lung",2,574,0,2,1,573,0,0.00174216027874564,0,1,1
"C_ID14/InsDel14","Lung",2,574,0,2,5,569,0,0.00871080139372822,0,1,1
"C_ID17/InsDel17","Lung",2,574,0,2,1,573,0,0.00174216027874564,0,1,1
"C_ID19/InsDel19a","Lung",2,574,0,2,8,566,0,0.0139372822299652,0,1,1
"C_ID19/InsDel19b","Lung",2,574,0,2,170,404,0,0.29616724738676,0,1,1
"ID_A/InsDel_A_alpha","Lung",2,574,0,2,8,566,0,0.0139372822299652,0,1,1
"ID_A/InsDel_A_beta","Lung",2,574,0,2,6,568,0,0.0104529616724739,0,1,1
"ID_B/InsDel_B","Lung",2,574,0,2,103,471,0,0.179442508710801,0,1,1
"ID_E/InsDel_E","Lung",2,574,0,2,10,564,0,0.0174216027874564,0,1,1
"ID_F/InsDel_F","Lung",2,574,0,2,1,573,0,0.00174216027874564,0,1,1
"ID_G/InsDel_G","Lung",2,574,0,2,10,564,0,0.0174216027874564,0,1,1
"ID_K/InsDel_K","Lung",2,574,0,2,1,573,0,0.00174216027874564,0,1,1
"ID_L/InsDel_L","Lung",2,574,0,2,2,572,0,0.00348432055749129,0,1,1
"ID_M/InsDel_M","Lung",2,574,0,2,1,573,0,0.00174216027874564,0,1,1
"ID_N/InsDel_N_alpha","Lung",2,574,0,2,1,573,0,0.00174216027874564,0,1,1
"ID_N/InsDel_N_beta","Lung",2,574,0,2,168,406,0,0.292682926829268,0,1,1
"C_ID1/InsDel1b","Other",3,350,0,3,10,340,0,0.0285714285714286,0,1,1
"C_ID3/InsDel3a","Other",3,350,0,3,7,343,0,0.02,0,1,1
"C_ID4/InsDel4","Other",3,350,0,3,35,315,0,0.1,0,1,1
"C_ID5/InsDel5c","Other",3,350,0,3,5,345,0,0.0142857142857143,0,1,1
"C_ID6/InsDel6","Other",3,350,0,3,21,329,0,0.06,0,1,1
"C_ID9/InsDel9","Other",3,350,0,3,53,297,0,0.151428571428571,0,1,1
"C_ID10/InsDel10","Other",3,350,0,3,10,340,0,0.0285714285714286,0,1,1
"C_ID12/InsDel12","Other",3,350,0,3,2,348,0,0.00571428571428571,0,1,1
"C_ID14/InsDel14","Other",3,350,0,3,7,343,0,0.02,0,1,1
"ID_A/InsDel_A_beta","Other",3,350,0,3,6,344,0,0.0171428571428571,0,1,1
"ID_C/InsDel_C","Other",3,350,0,3,2,348,0,0.00571428571428571,0,1,1
"ID_D/InsDel_D","Other",3,350,0,3,7,343,0,0.02,0,1,1
"ID_E/InsDel_E","Other",3,350,0,3,9,341,0,0.0257142857142857,0,1,1
"ID_F/InsDel_F","Other",3,350,0,3,11,339,0,0.0314285714285714,0,1,1
"ID_I/InsDel_I","Other",3,350,0,3,2,348,0,0.00571428571428571,0,1,1
"C_ID3/InsDel3a","Prostate",19,682,0,19,3,679,0,0.00439882697947214,0,1,1
"C_ID3/InsDel3b","Prostate",19,682,0,19,13,669,0,0.0190615835777126,0,1,1
"C_ID4/InsDel4","Prostate",19,682,0,19,22,660,0,0.032258064516129,0,1,1
"C_ID5/InsDel5b","Prostate",19,682,0,19,10,672,0,0.0146627565982405,0,1,1
"C_ID5/InsDel5c","Prostate",19,682,0,19,14,668,0,0.0205278592375367,0,1,1
"C_ID8/InsDel8","Prostate",19,682,0,19,12,670,0,0.0175953079178886,0,1,1
"C_ID10/InsDel10","Prostate",19,682,0,19,11,671,0,0.0161290322580645,0,1,1
"C_ID13/InsDel13","Prostate",19,682,0,19,3,679,0,0.00439882697947214,0,1,1
"C_ID14/InsDel14","Prostate",19,682,0,19,7,675,0,0.0102639296187683,0,1,1
"C_ID17/InsDel17","Prostate",19,682,0,19,3,679,0,0.00439882697947214,0,1,1
"C_ID18/InsDel18","Prostate",19,682,0,19,4,678,0,0.00586510263929619,0,1,1
"C_ID19/InsDel19a","Prostate",19,682,0,19,15,667,0,0.0219941348973607,0,1,1
"C_ID23/InsDel23","Prostate",19,682,0,19,10,672,0,0.0146627565982405,0,1,1
"ID_A/InsDel_A_alpha","Prostate",19,682,0,19,3,679,0,0.00439882697947214,0,1,1
"ID_A/InsDel_A_beta","Prostate",19,682,0,19,3,679,0,0.00439882697947214,0,1,1
"ID_C/InsDel_C","Prostate",19,682,0,19,4,678,0,0.00586510263929619,0,1,1
"ID_H/InsDel_H","Prostate",19,682,0,19,1,681,0,0.00146627565982405,0,1,1
"ID_K/InsDel_K","Prostate",19,682,0,19,3,679,0,0.00439882697947214,0,1,1
"ID_L/InsDel_L","Prostate",19,682,0,19,2,680,0,0.00293255131964809,0,1,1
"ID_M/InsDel_M","Prostate",19,682,0,19,1,681,0,0.00146627565982405,0,1,1
"C_ID1/InsDel1b","Skin",2,430,0,2,7,423,0,0.0162790697674419,0,1,1
"C_ID2/InsDel2a","Skin",2,430,0,2,9,421,0,0.0209302325581395,0,1,1
"C_ID2/InsDel2c","Skin",2,430,0,2,5,425,0,0.0116279069767442,0,1,1
"C_ID3/InsDel3b","Skin",2,430,0,2,3,427,0,0.00697674418604651,0,1,1
"C_ID5/InsDel5a","Skin",2,430,0,2,22,408,0,0.0511627906976744,0,1,1
"C_ID5/InsDel5c","Skin",2,430,0,2,5,425,0,0.0116279069767442,0,1,1
"C_ID6/InsDel6","Skin",2,430,0,2,7,423,0,0.0162790697674419,0,1,1
"C_ID8/InsDel8","Skin",2,430,0,2,51,379,0,0.118604651162791,0,1,1
"C_ID9/InsDel9","Skin",2,430,0,2,39,391,0,0.0906976744186047,0,1,1
"C_ID23/InsDel23","Skin",2,430,0,2,3,427,0,0.00697674418604651,0,1,1
"ID_A/InsDel_A_alpha","Skin",2,430,0,2,6,424,0,0.013953488372093,0,1,1
"ID_A/InsDel_A_beta","Skin",2,430,0,2,9,421,0,0.0209302325581395,0,1,1
"ID_B/InsDel_B","Skin",2,430,0,2,79,351,0,0.183720930232558,0,1,1
"ID_E/InsDel_E","Skin",2,430,0,2,13,417,0,0.0302325581395349,0,1,1
"ID_H/InsDel_H","Skin",2,430,0,2,26,404,0,0.0604651162790698,0,1,1
"ID_I/InsDel_I","Skin",2,430,0,2,3,427,0,0.00697674418604651,0,1,1
"ID_L/InsDel_L","Skin",2,430,0,2,4,426,0,0.00930232558139535,0,1,1
"ID_N/InsDel_N_alpha","Skin",2,430,0,2,3,427,0,0.00697674418604651,0,1,1
"ID_N/InsDel_N_beta","Skin",2,430,0,2,92,338,0,0.213953488372093,0,1,1
"C_ID1/InsDel1a","Stomach",6,113,0,6,14,99,0,0.123893805309735,0,1,1
"C_ID1/InsDel1b","Stomach",6,113,0,6,7,106,0,0.0619469026548673,0,1,1
"C_ID1/InsDel1c","Stomach",6,113,0,6,9,104,0,0.079646017699115,0,1,1
"C_ID2/InsDel2a","Stomach",6,113,0,6,11,102,0,0.0973451327433628,0,1,1
"C_ID4/InsDel4","Stomach",6,113,0,6,7,106,0,0.0619469026548673,0,1,1
"C_ID5/InsDel5a","Stomach",6,113,0,6,8,105,0,0.0707964601769911,0,1,1
"C_ID5/InsDel5c","Stomach",6,113,0,6,13,100,0,0.115044247787611,0,1,1
"C_ID6/InsDel6","Stomach",6,113,0,6,13,100,0,0.115044247787611,0,1,1
"C_ID8/InsDel8","Stomach",6,113,0,6,2,111,0,0.0176991150442478,0,1,1
"C_ID9/InsDel9","Stomach",6,113,0,6,11,102,0,0.0973451327433628,0,1,1
"C_ID10/InsDel10","Stomach",6,113,0,6,2,111,0,0.0176991150442478,0,1,1
"C_ID11/InsDel11","Stomach",6,113,0,6,1,112,0,0.00884955752212389,0,1,1
"C_ID14/InsDel14","Stomach",6,113,0,6,13,100,0,0.115044247787611,0,1,1
"C_ID23/InsDel23","Stomach",6,113,0,6,1,112,0,0.00884955752212389,0,1,1
"ID_A/InsDel_A_beta","Stomach",6,113,0,6,2,111,0,0.0176991150442478,0,1,1
"ID_B/InsDel_B","Stomach",6,113,0,6,3,110,0,0.0265486725663717,0,1,1
"ID_C/InsDel_C","Stomach",6,113,0,6,1,112,0,0.00884955752212389,0,1,1
"ID_F/InsDel_F","Stomach",6,113,0,6,3,110,0,0.0265486725663717,0,1,1
"ID_G/InsDel_G","Stomach",6,113,0,6,2,111,0,0.0176991150442478,0,1,1
"ID_K/InsDel_K","Stomach",6,113,0,6,2,111,0,0.0176991150442478,0,1,1
"ID_L/InsDel_L","Stomach",6,113,0,6,2,111,0,0.0176991150442478,0,1,1
"ID_N/InsDel_N_alpha","Stomach",6,113,0,6,8,105,0,0.0707964601769911,0,1,1
"C_ID1/InsDel1b","Uterus",16,106,0,16,1,105,0,0.00943396226415094,0,1,1
"C_ID2/InsDel2a","Uterus",16,106,0,16,4,102,0,0.0377358490566038,0,1,1
"C_ID2/InsDel2c","Uterus",16,106,0,16,1,105,0,0.00943396226415094,0,1,1
"C_ID3/InsDel3b","Uterus",16,106,0,16,1,105,0,0.00943396226415094,0,1,1
"C_ID5/InsDel5c","Uterus",16,106,0,16,2,104,0,0.0188679245283019,0,1,1
"C_ID8/InsDel8","Uterus",16,106,0,16,1,105,0,0.00943396226415094,0,1,1
"C_ID17/InsDel17","Uterus",16,106,0,16,3,103,0,0.0283018867924528,0,1,1
"C_ID19/InsDel19a","Uterus",16,106,0,16,2,104,0,0.0188679245283019,0,1,1
"C_ID23/InsDel23","Uterus",16,106,0,16,1,105,0,0.00943396226415094,0,1,1
"ID_A/InsDel_A_alpha","Uterus",16,106,0,16,4,102,0,0.0377358490566038,0,1,1
"ID_A/InsDel_A_beta","Uterus",16,106,0,16,3,103,0,0.0283018867924528,0,1,1
"ID_E/InsDel_E","Uterus",16,106,0,16,3,103,0,0.0283018867924528,0,1,1
"ID_G/InsDel_G","Uterus",16,106,0,16,4,102,0,0.0377358490566038,0,1,1
"ID_L/InsDel_L","Uterus",16,106,0,16,1,105,0,0.00943396226415094,0,1,1
"C_ID17/InsDel17","Bladder",3,195,0,3,2,193,0,0.0102564102564103,0,1,1
"C_ID19/InsDel19a","Bladder",3,195,0,3,2,193,0,0.0102564102564103,0,1,1
"ID_F/InsDel_F","Bladder",3,195,0,3,2,193,0,0.0102564102564103,0,1,1
"ID_K/InsDel_K","Bladder",3,195,0,3,2,193,0,0.0102564102564103,0,1,1
"C_ID5/InsDel5b","Breast",6,947,0,6,3,944,0,0.00316789862724393,0,1,1
"C_ID12/InsDel12","Breast",6,947,0,6,3,944,0,0.00316789862724393,0,1,1
"C_ID14/InsDel14","Breast",6,947,0,6,3,944,0,0.00316789862724393,0,1,1
"ID_I/InsDel_I","Breast",6,947,0,6,3,944,0,0.00316789862724393,0,1,1
"C_ID2/InsDel2c","CNS",5,367,0,5,9,358,0,0.0245231607629428,0,1,1
"ID_A/InsDel_A_alpha","CNS",5,367,0,5,9,358,0,0.0245231607629428,0,1,1
"ID_C/InsDel_C","CNS",5,367,0,5,9,358,0,0.0245231607629428,0,1,1
"ID_L/InsDel_L","CNS",5,367,0,5,9,358,0,0.0245231607629428,0,1,1
"ID_N/InsDel_N_alpha","CNS",5,367,0,5,9,358,0,0.0245231607629428,0,1,1
"C_ID3/InsDel3b","Other",3,350,0,3,39,311,0,0.111428571428571,0,1,1
